100Links|100links.supereva.it|q||
30sites|30sites|q||
4loot|4loot.com|q||
@mail.ru|go.mail.ru/search|q||
abcsearch.com|abcsearch.com|terms||
Accentice|accentice.com|q||
Alexa|alexa.com|q|alexa||
Alice|ricerca.alice.it|qs|alice||
Alice|search.alice.it|qs||
Alice|rechercher.aliceadsl.fr|qs||
Altavista|.altavista.com|q||
Amazon|amazon.fr/gp/bit/apps/web/SERP/search|query||
Aol|aolrecherches.aol.fr|query||
Aol|aolsearch.com/search|query||
Aol|search.aol.com|query||
Aol|recherche.aol.fr|q||
Arianna|arianna.libero.it|query||
Ask|ask.com|ask||
Ask|ask.com|q||
Babylon Search|search.babylon.com|q||
Babylon Search|search.babylon.com|search.babylon.com/web/|babsrc|
Baidu|baidu.com|wd||
Bing|bing.com|q||
Bing|search.live.com|q||
Buzzdock|buzzdock.com/Pages/Search|q||
Certified Toolbar|search.certified-toolbar.com|q||
ChatZum|search.chatzum.com|q||
ChatZum|searchsafer.com|q||
Daum|search.daum.net|q||
DMOZ|search.dmoz.org|search||
Dogpile|dogpile.com|q||
Eannu|fr.eannu.com|fr.eannu.com/|.htm|
ereadingSource|ereadingsource.com/search|q||
Ecosia|ecosia.org/search|q||
Excite|excite.|q||
eo.st|eo.st|x_query||
Fastaddressbar|search.fastaddressbar.com|s||
fbdownloader|search.fbdownloader.com|q||
Flipora|static.infoaxe.com|q||
Foxtab|search.foxtab.com|q||
Free|search.free.fr|qs||
Freenet.de|suche.freenet.de|query||
Friend Of A Friend|foaf-search.net|search_word||
Funmoods|start.funmoods.com|q||
Funmoods|start.funmoods.com|s||
Funmoods|searchfunmoods.com|q||
GMX|search.gmx.fr|q||
Google Beta|encrypted.google.com|q||
Google Blog Search|blogsearch.google.|q||
Google Groups|groups.google.|q||
Google Images|/imgres|q||
Google Images|/imgres|imgurl||
Google Images|images.google|q||
Google Maps|maps.google.|q||
Google cache|webcache.googleusercontent|q||
Google Translate|translate.google|u||
Google|www.google.|q||
Google|www.google.|url||
Handy Cafe|search.handycafe.com|q||
HotBot|hotbot.|query||
Iadadh|iadah.com|q||
ICQ|search.icq.com|q||
Inbox|www2.inbox.com/search|q||
Inbox|www2.inbox.com/search|qkw||
Incredimail|incredimail.com|q||
ItaliaPuntoNet|italiapuntonet.net|search||
ixquick|ixquick.com|query||
Glarysoft|isearch.glarysoft.com|q||
Hooseek|hooseek.com/web|recherche||
Kataweb|kataweb.it|q||
Le moteur|www.lemoteur.|rdata||
Le moteur|www.lemoteur.|kw||
Lost|lo.st/cgi-bin|x_query||
Lunascape|luna.tv/search|q||
Lycos|cerca.lycos.it|query||
Lycos|lycos.|q||
Metacrawler|metacrawler.|q||
MyPlayCity|home.myplaycity.com|s||
MyPlayCity|start.myplaycity.com|s||
My Way|mysearch.myway.com|searchfor||
MyWebSearch|search.mywebsearch.com|searchfor||
MyStart Incredibar|search.incredibar.com|q||
MyStart Smilebox|search.smilebox.com|q||
MyStart Hiyo|search.hiyo.com|q||
Orange|orange.fr|data||
PagineGialle|paginegialle.it|qs||
Plus Network|plusnetwork.com|q||
Qwant|qwant.com|q||
Rambler|nova.rambler.ru/srch|query||
Rpidity|search.rpidity.com|q||
SearchCanvas|searchcanvas.com|q||
SearchCompletion|search.searchcompletion.com|q||
Searcheo|searcheo.fr/|q||
Search Mobile online|searchmobileonline.com/search|q||
Search WebPlayer|search.webplayer.tv|q||
SearchYa|searchya.com|q||
Search.com|search.com|q||
Search.it|search.it|srctxt||
Search.conduit|search.conduit.com|q||
Search.alot|search.alot.com|q||
Search.avg|search.avg.com|q||
Search.ke.voila.fr|search.ke.voila.fr|rdata||
Search.Icompleteu|search.icompleteu.com|q||
Search.Iminent|search.iminent.com|search.iminent.com/|SearchTheWeb|
Search.Softonic|search.softonic|q||
Search-Guru|search-guru.com|q||
Search-results|search-results.com|q||
Search Results|mysearchresults.com/search|q||
Search-Web|search-web.net|q||
Snap.do|search.snap.do|q||
SPEEDbit|home.speedbit.com|q||
SPEEDbit|search.speedbit.com|q||
Start.InfoSpace|start.infospace|q||
Startpagina|startgoogle.startpagina|q||
StartPins|startpins.com/search|q||
Startsiden|www.startsiden.no|q||
Supereva|supereva.it|q||
sweetim|search.sweetim.|q||
Swisscom|search.bluewin.ch|q||
Teoma|teoma.com|q||
Tiscali|search-dyn.tiscali.|key||
ustart|www.ustart.org/search|q||
Ventro|rechercher.aguea.com|q||
Ventro|rechercher.aguea.com|rechercher.aguea.com||
Vindel.nl|www.vindel.nl|q||
Virgilio|ricerca.alice.it/ricerca|qs||
Virgilio|search.virgilio.it|qs||
Vizzeo|vizzeo.|q||
Voila|voila.fr|kw||
Votre Recherche|www3.mon-portail.com|q||
Votre Recherche|sq.trouver.la|q||
Web.de|web.de|su||
Wuuta|www.wuuta.com|q||
www2-mon-portail|www2.mon-portail|q||
Yahoo|search.yahoo.co|p||
Yahoo|m.yahoo.com|p||
Yahoo|fr.search.yahoo.com|p||
Yahoo|alltheweb.com|q||
Yahoo|77.238.178.155/search|q||
Yandex|yandex.ru|text||
YouGoo|www.yougoo.|q||
Zone Alarm|search.zonealarm.com|q||
