123people|123people|
200please|200PleaseBot|
80legs|www.80legs.com/webcrawler|
@mail.ru|Mail.ru|
Abonti|Abonti|
AboutUs|AboutUsBot|
Acoon|AcoonBot|
AideRSS|aiderss.com|
AgHaven|aghaven|
Ahrefs|AhrefsBot|
Alexa|ia_archiver|
AltaVista|Scooter-|
Ant.com|AntBot|
Apercite|apercite.fr/robot|
Apple PubSub|Apple-PubSub|
Apple Syndication|AppleSyndication|
Archive.org|archive.org_bot|
Ask|Jeeves/Teoma|
BackType|kame|
BackType|support@backtype.com|
Baidu|Baiduspider|
BecomeBot|BecomeBot|
Best Buy Ware Bay|WBSearchBot|
Biblioth&#232;que Nationale de France|bnf.fr_bot|
Bing|www.bing.com|
Bing|MSMOBOT|
Bing|msnbot|
Bit.ly|bitlybot|
Biz360|Biz360|
Blekko|Blekkobot|
Blogged|blogged_crawl|
Bloggsi|Bloggsi|
Bloglines|Bloglines|
BlogPulse|BlogPulse|
BlogScope|BlogScope|
BlogShares.com|Zipping Along V|
Bluecoat|Bluecoat|
Bookmark Sync2it|sync2it.com|
Brandwatch Magpie-Crawler|brandwatch.net|
Browsershots|Browsershots|
BuzzLogic|BuzzLogic|
Camdiscover|Camcrawler|
Camdiscover|www.camdiscover.com|
CatchBot|CatchBot|
Cazoodle|Cazoodle|
CCBot|CCBot|
CCBot|commoncrawl.org/bot.html|
ChekParams|DCPbot|
Chlooe|bot-pge.chlooe.com|
Cityreview|cityreview|
CMS Crawler|www.cmscrawler.com|
Coc Coc|coccoc|
Coriolis|www.coriolis.ch|
Corpora from the web|berlin-fu-cow|
Covario|Covario-IDS|
crowsnest|crowsnest|
Cuil|Twiceler|
cURL|curl|
Discovery Engine|discoverybot|
Discovery Engine|discobot|
Discovery Engine|disco/Nutch|
DomainCrawler|DomainCrawler|
DotBot|DotBot|
Echo|JS-Kit|
Embedly|Embedly|
Entireweb|entireweb.com|
Evri|evri.com|
Exalead|Exabot|
Exalead|NG/2.0|
Ezooms|ezooms.bot@gmail.com|
Facebook|facebook|
Fastsearch|FASTMetaWebCrawler|
Fastsearch|fastsearch|
FeedBot|FeedBot|
Feedspot|feedspot.palkeo.com|
FeedBurner|FeedBurner|
FeedDemon|www.feeddemon|
Feed Validator|FeedValidator/1.3|
FlipBoard|flipboard.com/crawler|
Float|float.com|
FreeWebMonitoring|FreeWebMonitoringSiteChecker|
Friend Of A Friend|FOAFcrawler|
FyberSpider|FyberSpider|
Garlik|GarlikCrawler|
Gaisbot|Gaisbot|
Genieo|www.genieo|
GG Network|GGPeekBot|
GIDNetwork|GIDBot|
Gigablast|gigablast|
Gigablast|Gigabot|
Gnip|UnwindFetchor|
Google AdSense|Mediapartners-Google|
Google Desktop|GoogleDesktop|
Google Feedfetcher|Feedfetcher-Google|
Google Images|Googlebot-Image|
Google Mobile|Googlebot-Mobile|
Google Site Verification|Google-Site-Verification|
Google Page Speed|GooglePageSpeed|
Google|Googlebot|
GrapeShot|GrapeshotCrawler|
GTmetrix|GTmetrix|
Guruji|GurujiBot|
Heritrix|heritrix|
HotPage|www.hotpage.fr|
HTTrack Website Copier|HTTrack|
ICC-Crawler|ICC-Crawler|
Icerocket|BlogSearch|
ichiro|ichiro|
iltrovatore.it|IlTrovatore-Setaccio|
Indian Language Web|IIITBOT|
Indy Library|IndyLibrary|
InfoHelfer|Infohelfer|
IntegromeDB|integromedb.org/Crawler|
IRLbot|IRLbot|
Jike Search|JikeSpider|
Jyxobot|jyxo.cz|
KaloogaBot|KaloogaBot|
KiwiStatus|KiwiStatus|
Komodia|KomodiaBot|
LinkedIn|www.linkedin.com|
Linkdex|linkdex.com|
linkfluence|bot@linkfluence.net|
Livedoor|livedoorScreenShot|
llssbot|llssbot|
LookSmart|grub-client|
MagpieRSS|MagpieRSS|
Majestic-12|MJ12bot|
Megite|Megite2.0|
METASpider|METASpider|
MetaURI|metauri.com|
Microsoft Bot|MSRBOT|
Microsoft adCenter|adidxbot|
MLBot|metadatalabs.com|
Moreover|Moreoverbot|
MP3 Bot|mp3realm.org|
Naver|Cowbot|
Naver|naver.com|
Naver|NaverBot|
Neofonie|neofoniesearch:robot|
Netcraft|Netcraft|
Netseer|Teemer|
NetSeer|NetSeer|
NetSeer|ilial/Nutch|
NewsGator|NewsGatorOnline|
News.me|news.me|
Nexen|www.nexen.net|
Online Broken Link Checker|BrokenLinkCheck.com|
OpenIndex|OpenindexSpider|
Orange|ldorange.crawler|
Outbrain|SphereScout|
PagePeeker|pagepeeker|
Paper.li|PaperLiBot|
Parsijoo|parsijoo-crawler|
Peepow|Peepowbot|
Picsearch|www.picsearch.com|
Ping.Blo.gs|ping.blo.gs|
PlantyNet|PlantyNet|
PostRank|postrank.com|
ProCog|ProCogBot|
Proximic|www.proximic|
Python|Python-urllib/2.6|
Radian6|R6_CommentReader|
Radian6|R6_FeedFetcher|
Radian6 radiarss|www.radian6.com|
Readability|Readability|
RedBot|redbot.org|
Rivva|Rivva|
Runnk|runnk|
ScoutJet|www.scoutjet.com|
ScSpider|ScSpider|
Searchme|searchme.com|
Searchmetrics|SearchmetricsBot|
Search Web Engine|swebot-crawler.net|
Seexie|seexie.com|
Semiocast|semiocast.com|
Seo Hunter|4SeoHuntBot|
SeoMoz|rogerbot-crawler|
SEOprofiler|www.seoprofiler.com|
Seznam|SeznamBot|
SEMRush|SemrushBot|
ShowYou|showyou.com/crawler|
SimplePie|SimplePie|
Sindup|Sindup|
Sistrix|crawler.sistrix|
Site Bot|sitebot|
Site-Perf.com|Site-Perf.comperformancetestingbot|
SiteIntel|SiteIntel.net|
Skimlinks|skimlinks|
Snap|Snap|
SociaLayer|socialayer.com|
Sogou|Sogou|
Solomono|SolomonoBot|
Sosospider|soso.com|
SpiderLing|biwec|
Spinn3r|Spinn3r|
Spoke|SpokeSpider|
Summify|Summify|
Synoo|Synoobot|
Spinn3r|Tailrank|
Statsbot|Statsbot|
Technorati|Technoratibot|
Thumbshots|thumbshots|
Topsy|topsy.com|
Toshiba|TosCrawler|
Trendiction|trendictionbot|
Turnitin|turnitin|
Tweeted Times|tweetedtimes|
tweetmeme|tweetmeme.com|
Twenga|TwengaBot|
Twikle|contact@twikle.com|
Twingly|TwinglyRecon|
Twitter|Twitterbot|
Twitmunin|twitmunin|
Twitturls|twitturls|
Twitturly|Twitturly|
UMBC Memeta|UMBC-Memeta|
UniversalFeedParser|UniversalFeedParser|
Updowner|Updownerbot|
urlfan|urlfan-bot|
urlfan|www.urlfan.com|
VadixBot|VadixBot|
Ventro|VENTRO|
VerticalSearchWorks|ConveraCrawler|
WiseGuys|wise-guys|
